listing-location,location_encoded,bed,bath,listing-floorarea,listing-floorarea 2,price
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,5.0,420.0,20720721.0,69000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,190.0,12747875.0,45000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,132.0,30859375.0,39500000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,220.0,18333333.0,33000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,2.0,180.0,27777778.0,35000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,4.0,194.0,18672199.0,45000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,160.0,16544118.0,45000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,190.0,12747875.0,45000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,120.0,14062500.0,45000000.0
"BSD, Tangerang Selatan, Banten",1,5.0,4.0,140.0,19642857.0,22000000.0
"Jalan cempaka, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,112.0,28757895.0,27320000.000000004
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,3.0,200.0,19135802.0,31000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,150.0,16233766.0,25000000.0
"Alam Sutera, Tangerang Selatan, Banten",0,4.0,4.0,400.0,23500000.0,47000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,4.0,128.0,19583333.0,23500000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,128.0,20833333.0,25000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,100.0,12000000.0,24000000.0
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,160.0,25390625.0,32500000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,150.0,16101695.0,19000000.0
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,2.0,1.0,60.0,10555556.0,
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,2.0,1.0,36.0,12152778.0,
"Jl Gading Sektor, Gading Serpong, Tangerang Selatan, Banten",8,3.0,2.0,100.0,27777778.0,20000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,2.0,135.0,19841270.0,25000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,240.0,25000000.0,30000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,4.0,130.0,27343750.0,35000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,7.0,308.0,30000000.0,75000000.0
"Jl Sektor Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,2.0,2.0,126.0,15500000.0,15500000.0
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,349.0,23000000.0,69000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,2.0,1.0,50.0,12500000.0,
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,157.0,12833333.0,38500000.0
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,135.0,25000000.0,32000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,144.0,25000000.0,30000000.0
"Serpong, Tangerang Selatan, Banten",13,6.0,5.0,600.0,21825397.0,55000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,90.0,30937500.0,
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,3.0,120.0,26351351.0,19500000.0
